// gr-dict 1.0
// Unidirectional transformation from American-spelled words to their British
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

yogurts ~ yoghurts
yogurt ~ yoghurt
yodeling ~ yodelling
yodeled ~ yodelled
worshiped ~ worshipped
wooly ~ woolly
wooliest ~ woolliest
woolies ~ woollies
woolier ~ woollier
woolens ~ woollens
woolen ~ woollen
womanizing ~ womanising
womanizes ~ womanises
womanizers ~ womanisers
womanizer ~ womaniser
womanized ~ womanised
womanize ~ womanise
westernizing ~ westernising
westernizes ~ westernises
westernized ~ westernised
westernize ~ westernise
westernization ~ westernisation
weaseling ~ weaselling
weaseled ~ weaselled
watercolors ~ watercolours
watercolor ~ watercolour
wagons ~ waggons
wagoning ~ waggoning
wagoned ~ waggoned
wagon ~ waggon
vulgarizing ~ vulgarising
vulgarizes ~ vulgarises
vulgarized ~ vulgarised
vulgarize ~ vulgarise
vulgarization ~ vulgarisation
vulcanizing ~ vulcanising
vulcanizes ~ vulcanises
vulcanized ~ vulcanised
vulcanize ~ vulcanise
vocalizing ~ vocalising
vocalizes ~ vocalises
vocalized ~ vocalised
vocalize ~ vocalise
vocalizations ~ vocalisations
vocalization ~ vocalisation
visualizing ~ visualising
visualizes ~ visualises
visualized ~ visualised
visualize ~ visualise
visualizations ~ visualisations
visualization ~ visualisation
vises ~ vices
vise ~ vice
vigor ~ vigour
//videodisks videodiscs
//videodisk videodisc
victimizing ~ victimising
victimizes ~ victimises
victimized ~ victimised
victimize ~ victimise
victimizations ~ victimisations
victimization ~ victimisation
vials ~ phials
vialing ~ phialing
vialed ~ phialed
vial ~ phial
verbalizing ~ verbalising
verbalizes ~ verbalises
verbalized ~ verbalised
verbalize ~ verbalise
vapors ~ vapours
vaporizing ~ vaporising
vaporizes ~ vaporises
vaporizers ~ vaporisers
vaporizer ~ vaporiser
vaporized ~ vaporised
vaporize ~ vaporise
vaporizations ~ vaporisations
vaporization ~ vaporisation
vaporing ~ vapouring
vapored ~ vapoured
vapor ~ vapour
vandalizing ~ vandalising
vandalizes ~ vandalises
vandalized ~ vandalised
vandalize ~ vandalise
valor ~ valour
utilizing ~ utilising
utilizes ~ utilises
utilized ~ utilised
utilize ~ utilise
utilization ~ utilisation
utilizable ~ utilisable
urbanizing ~ urbanising
urbanizes ~ urbanises
urbanized ~ urbanised
urbanize ~ urbanise
urbanizations ~ urbanisations
urbanization ~ urbanisation
untrammeled ~ untrammelled
unspoiled ~ unspoilt
unsavory ~ unsavoury
unrivaled ~ unrivalled
unrecognized ~ unrecognised
unrecognizable ~ unrecognisable
unraveling ~ unravelling
unraveled ~ unravelled
unorganized ~ unorganised
unionizing ~ unionising
unionizes ~ unionises
unionized ~ unionised
unionize ~ unionise
unionizations ~ unionisations
unionization ~ unionisation
unfavorably ~ unfavourably
unfavorable ~ unfavourable
unequaled ~ unequalled
underutilizing ~ underutilising
underutilizes ~ underutilises
underutilized ~ underutilised
underutilize ~ underutilise
uncivilized ~ uncivilised
unauthorized ~ unauthorised
tyrannizing ~ tyrannising
tyrannizes ~ tyrannises
tyrannized ~ tyrannised
tyrannize ~ tyrannise
tunnelings ~ tunnellings
tunneling ~ tunnelling
tunneled ~ tunnelled
tumors ~ tumours
tumor ~ tumour
trivializing ~ trivialising
trivializes ~ trivialises
trivialized ~ trivialised
trivialize ~ trivialise
tricolors ~ tricolours
tricolor ~ tricolour
trialing ~ trialling
trialed ~ trialled
travelogs ~ travelogues
travelog ~ travelogue
travelings ~ travellings
traveling ~ travelling
travelers ~ travellers
traveler ~ traveller
traveled ~ travelled
traumatizing ~ traumatising
traumatizes ~ traumatises
traumatized ~ traumatised
traumatize ~ traumatise
transshipment ~ transhipment
transistorized ~ transistorised
tranquilizing ~ tranquillizing
tranquilizes ~ tranquillizes
tranquilizers ~ tranquillizers
tranquilizer ~ tranquillizer
tranquilized ~ tranquillized
tranquilize ~ tranquillize
tranquility ~ tranquillity
toxemias ~ toxaemias
toxemia ~ toxaemia
towelings ~ towellings
toweling ~ towelling
toweled ~ towelled
totaling ~ totalling
totaled ~ totalled
tons ~ tonnes
ton ~ tonne
theorizings ~ theorisings
theorizing ~ theorising
theorizes ~ theorises
theorized ~ theorised
theorize ~ theorise
theaters ~ theatres
theatergoers ~ theatregoers
theatergoer ~ theatregoer
theater ~ theatre
terrorizing ~ terrorising
terrorizes ~ terrorises
terrorized ~ terrorised
terrorize ~ terrorise
tenderizing ~ tenderising
tenderizes ~ tenderises
tenderized ~ tenderised
tenderize ~ tenderise
temporizing ~ temporising
temporizes ~ temporises
temporized ~ temporised
temporize ~ temporise
technicolor ~ technicolour
tasseled ~ tasselled
tantalizingly ~ tantalisingly
tantalizing ~ tantalising
tantalizes ~ tantalises
tantalized ~ tantalised
tantalize ~ tantalise
tableting ~ tabletting
systematizing ~ systematising
systematizes ~ systematises
systematized ~ systematised
systematize ~ systematise
systematizations ~ systematisations
systematization ~ systematisation
synthesizing ~ synthesising
synthesizes ~ synthesises
synthesizers ~ synthesisers
synthesizer ~ synthesiser
synthesized ~ synthesised
synthesize ~ synthesise
synchronizing ~ synchronising
synchronizes ~ synchronises
synchronized ~ synchronised
synchronize ~ synchronise
synchronizations ~ synchronisations
synchronization ~ synchronisation
sympathizing ~ sympathising
sympathizes ~ sympathises
sympathizers ~ sympathisers
sympathizer ~ sympathiser
sympathized ~ sympathised
sympathize ~ sympathise
symbolizing ~ symbolising
symbolizes ~ symbolises
symbolized ~ symbolised
symbolize ~ symbolise
swiveling ~ swivelling
swiveled ~ swivelled
summarizing ~ summarising
summarizes ~ summarises
summarized ~ summarised
summarize ~ summarise
sulfurs ~ sulphurs
sulfurous ~ sulphurous
sulfuring ~ sulphuring
//sulfureted sulphuretted
sulfured ~ sulphured
sulfur ~ sulphur
sulfites ~ sulphites
sulfite ~ sulphite
sulfides ~ sulphides
sulfide ~ sulphide
sulfating ~ sulphating
sulfates ~ sulphates
sulfated ~ sulphated
sulfate ~ sulphate
succors ~ succours
succoring ~ succouring
succored ~ succoured
succor ~ succour
subsidizing ~ subsidising
subsidizes ~ subsidises
subsidizers ~ subsidisers
subsidizer ~ subsidiser
subsidized ~ subsidised
subsidize ~ subsidise
subsidizations ~ subsidisations
subsidization ~ subsidisation
stylized ~ stylised
stylize ~ stylise
//storied storyed
stigmatizing ~ stigmatising
stigmatizes ~ stigmatises
stigmatized ~ stigmatised
stigmatize ~ stigmatise
stigmatizations ~ stigmatisations
stigmatization ~ stigmatisation
sterilizing ~ sterilising
sterilizes ~ sterilises
sterilizers ~ sterilisers
sterilizer ~ steriliser
sterilized ~ sterilised
sterilize ~ sterilise
sterilizations ~ sterilisations
sterilization ~ sterilisation
stenciling ~ stencilling
stenciled ~ stencilled
standardizing ~ standardising
standardizes ~ standardises
standardized ~ standardised
standardize ~ standardise
standardizations ~ standardisations
standardization ~ standardisation
stabilizing ~ stabilising
stabilizes ~ stabilises
stabilizers ~ stabilisers
stabilizer ~ stabiliser
stabilized ~ stabilised
stabilize ~ stabilise
stabilization ~ stabilisation
squirreling ~ squirrelling
squirreled ~ squirrelled
splendors ~ splendours
splendor ~ splendour
spiraling ~ spiralling
spiraled ~ spiralled
spilled ~ spilt
spelled ~ spelt
specters ~ spectres
specter ~ spectre
specialty ~ speciality
specialties ~ specialities
specializing ~ specialising
specializes ~ specialises
specialized ~ specialised
specialize ~ specialise
specializations ~ specialisations
specialization ~ specialisation
southwests ~ south-wests
southwest ~ south-west
southeasts ~ south-easts
southeast ~ south-east
somberest ~ sombrest
somberer ~ sombrer
somber ~ sombre
solemnizing ~ solemnising
solemnizes ~ solemnises
solemnized ~ solemnised
solemnize ~ solemnise
sodomizing ~ sodomising
sodomizes ~ sodomises
sodomized ~ sodomised
sodomize ~ sodomise
socializing ~ socialising
socializes ~ socialises
socialized ~ socialised
socialize ~ socialise
socializations ~ socialisations
socialization ~ socialisation
snowplows ~ snowploughs
snowplowing ~ snowploughing
snowplowed ~ snowploughed
snowplow ~ snowplough
snorkeling ~ snorkelling
snorkeled ~ snorkelled
sniveling ~ snivelling
sniveled ~ snivelled
smolders ~ smoulders
smoldering ~ smouldering
smoldered ~ smouldered
smolder ~ smoulder
sleds ~ sledges
sleddings ~ sledgings
sledding ~ sledging
sledded ~ sledged
sled ~ sledge
skillful ~ skilful
skeptics ~ sceptics
skepticists ~ scepticists
skepticist ~ scepticist
skepticisms ~ scepticisms
skepticism ~ scepticism
skeptically ~ sceptically
skeptical ~ sceptical
skeptic ~ sceptic
siphons ~ syphons
siphoning ~ syphoning
siphoned ~ syphoned
siphon ~ syphon
signalizing ~ signalising
signalizes ~ signalises
signalized ~ signalised
signalize ~ signalise
signalings ~ signallings
signaling ~ signalling
signaled ~ signalled
shriveling ~ shrivelling
shriveled ~ shrivelled
shoveling ~ shovelling
shoveled ~ shovelled
sheiks ~ sheikhs
sheik ~ sheikh
//sermonizings sermonisings
sermonizing ~ sermonising
sermonizes ~ sermonises
sermonized ~ sermonised
sermonize ~ sermonise
serializing ~ serialising
serializes ~ serialises
serialized ~ serialised
serialize ~ serialise
serializations ~ serialisations
serialization ~ serialisation
sergeants ~ serjeants
sergeant ~ serjeant
sepulchers ~ sepulchres
sepulchering ~ sepulchring
sepulchered ~ sepulchred
sepulcher ~ sepulchre
sentimentalizing ~ sentimentalising
sentimentalizes ~ sentimentalises
sentimentalized ~ sentimentalised
sentimentalize ~ sentimentalise
sensitizing ~ sensitising
sensitizes ~ sensitises
sensitized ~ sensitised
sensitize ~ sensitise
sensationalizing ~ sensationalising
sensationalizes ~ sensationalises
sensationalized ~ sensationalised
sensationalize ~ sensationalise
selvages ~ selvedges
selvage ~ selvedge
secularizing ~ secularising
secularizes ~ secularises
secularized ~ secularised
secularize ~ secularise
secularizations ~ secularisations
secularization ~ secularisation
scrutinizing ~ scrutinising
scrutinizes ~ scrutinises
scrutinized ~ scrutinised
scrutinize ~ scrutinise
scepters ~ sceptres
sceptering ~ sceptring
sceptered ~ sceptred
scepter ~ sceptre
scandalizing ~ scandalising
scandalizes ~ scandalises
scandalized ~ scandalised
scandalize ~ scandalise
savory ~ savoury
savors ~ savours
savoring ~ savouring
savories ~ savouries
savored ~ savoured
savor ~ savour
saviors ~ saviours
savior ~ saviour
satirizing ~ satirising
satirizes ~ satirises
satirized ~ satirised
satirize ~ satirise
sanitizing ~ sanitising
sanitizes ~ sanitises
sanitizers ~ sanitisers
sanitizer ~ sanitiser
sanitized ~ sanitised
sanitize ~ sanitise
saltpeter ~ saltpetre
sabers ~ sabres
saber ~ sabre
rumors ~ rumours
rumoring ~ rumouring
rumored ~ rumoured
rumor ~ rumour
routings ~ routeings
routing ~ routeing
romanticizing ~ romanticising
romanticizes ~ romanticises
romanticized ~ romanticised
romanticize ~ romanticise
rivaling ~ rivalling
rivaled ~ rivalled
ritualizing ~ ritualising
ritualizes ~ ritualises
ritualized ~ ritualised
ritualize ~ ritualise
rigors ~ rigours
rigor ~ rigour
rhapsodizing ~ rhapsodising
rhapsodizes ~ rhapsodises
rhapsodized ~ rhapsodised
rhapsodize ~ rhapsodise
revolutionizing ~ revolutionising
revolutionizes ~ revolutionises
revolutionized ~ revolutionised
revolutionize ~ revolutionise
revitalizing ~ revitalising
revitalizes ~ revitalises
revitalized ~ revitalised
revitalize ~ revitalise
reveling ~ revelling
revelers ~ revellers
reveler ~ reveller
reveled ~ revelled
retroflections ~ retroflexions
retroflection ~ retroflexion
reorganizing ~ reorganising
reorganizes ~ reorganises
reorganized ~ reorganised
reorganize ~ reorganise
reorganizations ~ reorganisations
reorganization ~ reorganisation
remolds ~ remoulds
remolding ~ remoulding
remolded ~ remoulded
remold ~ remould
remodelings ~ remodellings
remodeling ~ remodelling
remodeled ~ remodelled
regularizing ~ regularising
regularizes ~ regularises
regularized ~ regularised
regularize ~ regularise
regularizations ~ regularisations
regularization ~ regularisation
refuelings ~ refuellings
refueling ~ refuelling
refueled ~ refuelled
reconnoiters ~ reconnoitres
reconnoiterings ~ reconnoitrings
reconnoitering ~ reconnoitring
reconnoitered ~ reconnoitred
reconnoiter ~ reconnoitre
recognizing ~ recognising
recognizes ~ recognises
recognized ~ recognised
recognize ~ recognise
recognizances ~ recognisances
recognizance ~ recognisance
recognizably ~ recognisably
recognizable ~ recognisable
realizing ~ realising
realizes ~ realises
realized ~ realised
realize ~ realise
realizations ~ realisations
realization ~ realisation
realizable ~ realisable
raveling ~ ravelling
raveled ~ ravelled
rationalizing ~ rationalising
rationalizes ~ rationalises
rationalized ~ rationalised
rationalize ~ rationalise
rationalizations ~ rationalisations
rationalization ~ rationalisation
randomizing ~ randomising
randomizes ~ randomises
randomized ~ randomised
randomize ~ randomise
rancor ~ rancour
radicalizing ~ radicalising
radicalizes ~ radicalises
radicalized ~ radicalised
radicalize ~ radicalise
raccoons ~ racoons
raccoon ~ racoon
quiring ~ choiring
quires ~ choirs
quired ~ choired
quire ~ choir
quarreling ~ quarrelling
quarreled ~ quarrelled
//pummels pummelleds
//pummelings pummelledings
//pummeling pummelleding
//pummeled pummelling
//pummel pummelled
pulverizing ~ pulverising
pulverizes ~ pulverises
pulverized ~ pulverised
pulverize ~ pulverise
pulverization ~ pulverisation
publicizing ~ publicising
publicizes ~ publicises
publicized ~ publicised
publicize ~ publicise
psychoanalyzing ~ psychoanalysing
psychoanalyzes ~ psychoanalyses
psychoanalyzed ~ psychoanalysed
psychoanalyze ~ psychoanalyse
proselytizing ~ proselytising
proselytizes ~ proselytises
proselytizers ~ proselytisers
proselytizer ~ proselytiser
proselytized ~ proselytised
proselytize ~ proselytise
propagandizing ~ propagandising
propagandizes ~ propagandises
propagandized ~ propagandised
propagandize ~ propagandise
prologs ~ prologues
prolog ~ prologue
//programs programmes
//program programme
professionalizing ~ professionalising
professionalizes ~ professionalises
professionalized ~ professionalised
professionalize ~ professionalise
professionalization ~ professionalisation
privatizing ~ privatising
privatizes ~ privatises
privatized ~ privatised
privatize ~ privatise
privatizations ~ privatisations
privatization ~ privatisation
prioritizing ~ prioritising
prioritizes ~ prioritises
prioritized ~ prioritised
prioritize ~ prioritise
prioritization ~ prioritisation
primeval ~ primaeval
pretenses ~ pretences
pretense ~ pretence
pressurizing ~ pressurising
pressurizes ~ pressurises
