// gr-dict 1.0
// Unidirectional transformation from British spelled words to their American
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

yoghourts ~ yogurts
yoghourt ~ yogurt
yoghurts ~ yogurts
yoghurt ~ yogurt
yodelling ~ yodeling
yodelled ~ yodeled
worshipped ~ worshiped
woolly ~ wooly
woolliest ~ wooliest
woollies ~ woolies
woollier ~ woolier
woollens ~ woolens
woollen ~ woolen
womanising ~ womanizing
womanises ~ womanizes
womanisers ~ womanizers
womaniser ~ womanizer
womanised ~ womanized
womanise ~ womanize
westernising ~ westernizing
westernises ~ westernizes
westernised ~ westernized
westernise ~ westernize
westernisation ~ westernization
weaselling ~ weaseling
weaselled ~ weaseled
watercolours ~ watercolors
watercolour ~ watercolor
waggons ~ wagons
waggoning ~ wagoning
waggoned ~ wagoned
waggon ~ wagon
vulgarising ~ vulgarizing
vulgarises ~ vulgarizes
vulgarised ~ vulgarized
vulgarise ~ vulgarize
vulgarisation ~ vulgarization
vulcanising ~ vulcanizing
vulcanises ~ vulcanizes
vulcanised ~ vulcanized
vulcanise ~ vulcanize
vocalising ~ vocalizing
vocalises ~ vocalizes
vocalised ~ vocalized
vocalise ~ vocalize
vocalisations ~ vocalizations
vocalisation ~ vocalization
visualising ~ visualizing
visualises ~ visualizes
visualised ~ visualized
visualise ~ visualize
visualisations ~ visualizations
visualisation ~ visualization
vigour ~ vigor
//videodiscs videodisks
//videodisc videodisk
victimising ~ victimizing
victimises ~ victimizes
victimised ~ victimized
victimise ~ victimize
victimisations ~ victimizations
victimisation ~ victimization
phials ~ vials
phialing ~ vialing
phialed ~ vialed
phial ~ vial
verbalising ~ verbalizing
verbalises ~ verbalizes
verbalised ~ verbalized
verbalise ~ verbalize
vapours ~ vapors
vaporising ~ vaporizing
vaporises ~ vaporizes
vaporisers ~ vaporizers
vaporiser ~ vaporizer
vaporised ~ vaporized
vaporise ~ vaporize
vaporisations ~ vaporizations
vaporisation ~ vaporization
vapouring ~ vaporing
vapoured ~ vapored
vapour ~ vapor
vandalising ~ vandalizing
vandalises ~ vandalizes
vandalised ~ vandalized
vandalise ~ vandalize
valour ~ valor
utilising ~ utilizing
utilises ~ utilizes
utilised ~ utilized
utilise ~ utilize
utilisation ~ utilization
utilisable ~ utilizable
urbanising ~ urbanizing
urbanises ~ urbanizes
urbanised ~ urbanized
urbanise ~ urbanize
urbanisations ~ urbanizations
urbanisation ~ urbanization
untrammelled ~ untrammeled
unspoilt ~ unspoiled
unsavoury ~ unsavory
unrivalled ~ unrivaled
unrecognised ~ unrecognized
unrecognisable ~ unrecognizable
unravelling ~ unraveling
unravelled ~ unraveled
unorganised ~ unorganized
unionising ~ unionizing
unionises ~ unionizes
unionised ~ unionized
unionise ~ unionize
unionisations ~ unionizations
unionisation ~ unionization
unfavourably ~ unfavorably
unfavourable ~ unfavorable
unequalled ~ unequaled
underutilising ~ underutilizing
underutilises ~ underutilizes
underutilised ~ underutilized
underutilise ~ underutilize
uncivilised ~ uncivilized
unauthorised ~ unauthorized
tyrannising ~ tyrannizing
tyrannises ~ tyrannizes
tyrannised ~ tyrannized
tyrannise ~ tyrannize
tunnellings ~ tunnelings
tunnelling ~ tunneling
tunnelled ~ tunneled
tumours ~ tumors
tumour ~ tumor
trivialising ~ trivializing
trivialises ~ trivializes
trivialised ~ trivialized
trivialise ~ trivialize
tricolours ~ tricolors
tricolour ~ tricolor
trialling ~ trialing
trialled ~ trialed
travellings ~ travelings
travelling ~ traveling
travellers ~ travelers
traveller ~ traveler
travelled ~ traveled
traumatising ~ traumatizing
traumatises ~ traumatizes
traumatised ~ traumatized
traumatise ~ traumatize
transhipment ~ transshipment
transistorised ~ transistorized
tranquillizing ~ tranquilizing
tranquillizes ~ tranquilizes
tranquillizers ~ tranquilizers
