// gr-dict 1.0
// Unidirectional mapping of different dialect words to their American spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// ou => o (colour => color, mould => mold)

ambercoloured ~ ambercolored
antiarmour ~ antiarmor
anticolour ~ anticolor
anticolours ~ anticolors
antitumour ~ antitumor
apricotcoloured ~ apricotcolored
arbour ~ arbor
arbours ~ arbors
ardour ~ ardor
ardours ~ ardors
armour ~ armor
armoured ~ armored
armourer ~ armorer
armourers ~ armorers
armouries ~ armories
armouring ~ armoring
armours ~ armors
armoury ~ armory
ashcoloured ~ ashcolored
aurora-coloured ~ aurora-colored
behaviour ~ behavior
behavioural ~ behavioral
behaviourism ~ behaviorism
behaviourisms ~ behaviorisms
behaviourist ~ behaviorist
behaviourists ~ behaviorists
behaviours ~ behaviors
belabour ~ belabor
belaboured ~ belabored
belabouring ~ belaboring
belabours ~ belabors
bicolour ~ bicolor
bicolouration ~ bicoloration
bicoloured ~ bicolored
bodycolour ~ bodycolor
brasscoloured ~ brasscolored
brickcoloured ~ brickcolored
brightly-coloured ~ brightly-colored
buff-coloured ~ buff-colored
burgundycoloured ~ burgundycolored
candour ~ candor
cherrycoloured ~ cherrycolored
chestnut-coloured ~ chestnut-colored
chocolate-coloured ~ chocolate-colored
cinnamon-coloured ~ cinnamon-colored
citroncoloured ~ citroncolored
clamour ~ clamor
clamoured ~ clamored
clamouring ~ clamoring
clamourings ~ clamorings
clamours ~ clamors
clangour ~ clangor
clangours ~ clangors
claretcoloured ~ claretcolored
colour ~ color
colour-blind ~ color-blind
colour-blindness ~ color-blindness
colour-coordinate ~ color-coordinate
colour-coordinated ~ color-coordinated
colourability ~ colorability
colourable ~ colorable
colourably ~ colorably
colourant ~ colorant
colourants ~ colorants
colouration ~ coloration
colourational ~ colorational
colourations ~ colorations
colourative ~ colorative
colourbearer ~ colorbearer
colourblind ~ colorblind
colourblindness ~ colorblindness
colourcast ~ colorcast
colourcaster ~ colorcaster
coloured ~ colored
coloureds ~ coloreds
colourer ~ colorer
colourers ~ colorers
colourfast ~ colorfast
colourfastness ~ colorfastness
colourful ~ colorful
colourfully ~ colorfully
colourfulness ~ colorfulness
colourific ~ colorific
colourimeter ~ colorimeter
colourimeters ~ colorimeters
colourimetric ~ colorimetric
colourimetrical ~ colorimetrical
colourimetrically ~ colorimetrically
colourimetry ~ colorimetry
colourin' ~ colorin'
colouring ~ coloring
colourings ~ colorings
colourisation ~ colorisation
colourise ~ colorise
colourism ~ colorism
colourisms ~ colorisms
colourist ~ colorist
colouristic ~ coloristic
colouristically ~ coloristically
colourists ~ colorists
colourization ~ colorization
colourizations ~ colorizations
colourize ~ colorize
colourized ~ colorized
colourizer ~ colorizer
colourizes ~ colorizes
colourizin' ~ colorizin'
colourizing ~ colorizing
colourless ~ colorless
colourlessly ~ colorlessly
colourlessness ~ colorlessness
colourmaker ~ colormaker
colourmakers ~ colormakers
colourmap ~ colormap
colourmaps ~ colormaps
colourmen ~ colormen
colourous ~ colorous
colourphobia ~ colorphobia
colourpoint ~ colorpoint
colourpoints ~ colorpoints
colourpuncture ~ colorpuncture
colours ~ colors
colourspace ~ colorspace
colourtype ~ colortype
colourway ~ colorway
colourways ~ colorways
colourwise ~ colorwise
colourwork ~ colorwork
concolourous ~ concolorous
coulter ~ colter
coulters ~ colters
dark-coloured ~ dark-colored
decolour ~ decolor
decolouration ~ decoloration
decolourations ~ decolorations
decoloured ~ decolored
decolouring ~ decoloring
decolourisation ~ decolorisation
decolourisations ~ decolorisations
decolourise ~ decolorise
decolourised ~ decolorised
decolouriser ~ decoloriser
decolourises ~ decolorises
decolourising ~ decolorising
decolourization ~ decolorization
decolourize ~ decolorize
decolourized ~ decolorized
decolourizer ~ decolorizer
decolours ~ decolors
demeanour ~ demeanor
demeanours ~ demeanors
discolour ~ discolor
discolouration ~ discoloration
discolourations ~ discolorations
discoloured ~ discolored
discolourer ~ discolorer
discolouring ~ discoloring
discolourings ~ discolorings
discolourisation ~ discolorisation
discolourise ~ discolorise
discolourization ~ discolorization
discolourment ~ discolorment
discolourous ~ discolorous
discolours ~ discolors
disfavour ~ disfavor
disfavours ~ disfavors
dishonour ~ dishonor
dishonourable ~ dishonorable
dishonourably ~ dishonorably
dishonoured ~ dishonored
dishonouring ~ dishonoring
dishonours ~ dishonors
dolour ~ dolor
dolours ~ dolors
dun-coloured ~ dun-colored
dusky-coloured ~ dusky-colored
dustcoloured ~ dustcolored
enamour ~ enamor
enamoured ~ enamored
enamouring ~ enamoring
enamours ~ enamors
endeavour ~ endeavor
endeavoured ~ endeavored
endeavouring ~ endeavoring
endeavours ~ endeavors
favour ~ favor
favourable ~ favorable
favourably ~ favorably
favoured ~ favored
favouring ~ favoring
favourite ~ favorite
favourited ~ favorited
favourites ~ favorites
favouriting ~ favoriting
favouritism ~ favoritism
favours ~ favors
fawn-coloured ~ fawn-colored
fawncoloured ~ fawncolored
fervour ~ fervor
fervours ~ fervors
flame-coloured ~ flame-colored
//flavour - Wiktionary, Oxford, Longman, and Cambridge still differentiate them
flavour ~ flavor
flavoured ~ flavored
flavouring ~ flavoring
flavourings ~ flavorings
flavourless ~ flavorless
flavours ~ flavors
flavoursome ~ flavorsome
flesh-coloured ~ flesh-colored
fleshcoloured ~ fleshcolored
forecolour ~ forecolor
forecolours ~ forecolors
garnet-coloured ~ garnet-colored
gold-coloured ~ gold-colored
governours ~ governors
handcolour ~ handcolor
//harbour - Wiktionary, Oxford, Longman, and Cambridge still differentiate them
harbour ~ harbor
harboured ~ harbored
harbouring ~ harboring
harbours ~ harbors
heritours ~ heritors
honey-coloured ~ honey-colored
honour ~ honor
honourable ~ honorable
honourably ~ honorably
honoured ~ honored
honouring ~ honoring
honours ~ honors
horrour ~ horror
humour ~ humor
humoured ~ humored
humouring ~ humoring
humourless ~ humorless
humours ~ humors
labour ~ labor
laboured ~ labored
labourer ~ laborer
labourers ~ laborers
labouring ~ laboring
labours ~ labors
languour ~ languor
languours ~ languors
lead-coloured ~ lead-colored
malodour ~ malodor
metal-coloured ~ metal-colored
metallic-coloured ~ metallic-colored
mirrours ~ mirrors
misbehaviour ~ misbehavior
misbehaviours ~ misbehaviors
miscolour ~ miscolor
miscolouration ~ miscoloration
miscoloured ~ miscolored
