// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Canadian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// o => ou (color => colour, mold => mould)

arbor ~ arbour
arbors ~ arbours
ardor ~ ardour
ardors ~ ardours
armor ~ armour
armored ~ armoured
armorer ~ armourer
armorers ~ armourers
armories ~ armouries
armoring ~ armouring
armors ~ armours
armory ~ armoury
behavior ~ behaviour
behavioral ~ behavioural
behaviorism ~ behaviourism
behaviorisms ~ behaviourisms
behaviorist ~ behaviourist
behaviorists ~ behaviourists
behaviors ~ behaviours
belabor ~ belabour
belabored ~ belaboured
belaboring ~ belabouring
belabors ~ belabours
candor ~ candour
clamor ~ clamour
clamored ~ clamoured
clamoring ~ clamouring
clamorings ~ clamourings
clamors ~ clamours
clangor ~ clangour
color ~ colour
colorant ~ colourant
colorants ~ colourants
colored ~ coloured
coloreds ~ coloureds
colorful ~ colourful
colorfully ~ colourfully
coloring ~ colouring
colorings ~ colourings
colorize ~ colourize
colorized ~ colourized
colorizes ~ colourizes
colorizing ~ colourizing
colorless ~ colourless
colors ~ colours
colter ~ coulter
colters ~ coulters
demeanor ~ demeanour
demeanors ~ demeanours
discolor ~ discolour
discolored ~ discoloured
discoloring ~ discolouring
discolors ~ discolours
disfavor ~ disfavour
dishonor ~ dishonour
dishonorable ~ dishonourable
dishonorably ~ dishonourably
dishonored ~ dishonoured
dishonoring ~ dishonouring
dishonors ~ dishonours
dolor ~ dolour
dolors ~ dolours
enamor ~ enamour
enamored ~ enamoured
enamoring ~ enamouring
enamors ~ enamours
endeavor ~ endeavour
endeavored ~ endeavoured
endeavoring ~ endeavouring
endeavors ~ endeavours
favor ~ favour
favorable ~ favourable
favorably ~ favourably
favored ~ favoured
favoring ~ favouring
favorite ~ favourite
favorited ~ favourited
favorites ~ favourites
favoriting ~ favouriting
favoritism ~ favouritism
favors ~ favours
fervor ~ fervour
fervors ~ fervours
flavor ~ flavour
flavored ~ flavoured
flavoring ~ flavouring
flavorings ~ flavourings
flavorless ~ flavourless
flavors ~ flavours
flavorsome ~ flavoursome
glamor ~ glamour
harbor ~ harbour
harbored ~ harboured
harboring ~ harbouring
harbors ~ harbours
honor ~ honour
honorable ~ honourable
honorably ~ honourably
honored ~ honoured
honoring ~ honouring
honors ~ honours
humor ~ humour
humored ~ humoured
humoring ~ humouring
humorless ~ humourless
humors ~ humours
labor ~ labour
labored ~ laboured
laborer ~ labourer
laborers ~ labourers
laboring ~ labouring
labors ~ labours
misbehavior ~ misbehaviour
misbehaviors ~ misbehaviours
misdemeanor ~ misdemeanour
misdemeanors ~ misdemeanours
mold ~ mould
molded ~ moulded
molder ~ moulder
moldered ~ mouldered
moldering ~ mouldering
molders ~ moulders
moldier ~ mouldier
moldiest ~ mouldiest
molding ~ moulding
moldings ~ mouldings
molds ~ moulds
moldy ~ mouldy
molt ~ moult
molted ~ moulted
molting ~ moulting
molts ~ moults
multicolor ~ multicolour
multicolored ~ multicoloured
neighbor ~ neighbour
neighborhood ~ neighbourhood
neighborhoods ~ neighbourhoods
neighboring ~ neighbouring
neighborliness ~ neighbourliness
neighborly ~ neighbourly
neighbors ~ neighbours
odor ~ odour
odorless ~ odourless
odors ~ odours
parlor ~ parlour
parlormaid ~ parlourmaid
